카드명,카드사,연회비_국내,연회비_해외,전월실적_기준,주요혜택
내맘대로 쁨 카드,하나카드,12000,12000,500000,EV충전: 20%하나머니 적립 | 쇼핑/패션/명품: 5%하나머니 적립 | 페이결제 최대: 1.5%하나머니 적립
네이버 현대카드,현대카드,10000,10000,300000,네이버플러스멤버십: 무료이용권 | 네이버플러스멤버십 회원: 5%적립 | 그외가맹점: 1%적립
네이버페이 우리카드 체크,우리카드,5000,5000,0,네이버페이: 1%적립 | 공항라운지: 무료이용 | 해외수수료: 면제서비스
네이버페이 플래티넘 롯데카드,롯데카드,15000,15000,0,일반가맹점: 0.5%적립 | 네이버페이가맹점: 3%적립
넥센타이어 KB국민카드,KB국민카드,0,14000,300000,"넥센타이어 렌탈료: 최대2만원할인 | 영화: 3,500원할인 | 놀이공원 최대: 50%할인"
넥센타이어 신한카드,신한카드,15000,18000,300000,넥센타이어 렌탈: 최대 2만원결제일 할인
넥센타이어 우리카드,우리카드,0,10000,300000,타이어렌탈: 최대 2만원할인 | 전국영화관: 3천원할인 | 커피전문점: 20%할인
넥슨 현대카드,현대카드,10000,10000,0,국내외 가맹점: 0.5%포인트 적립 | 국내외 가맹점: 1.5%포인트 추가 적립
넷마블 신한카드,신한카드,10000,13000,400000,앱스토어: 10%할인 | 편의점: 10%할인 | CGV: 20%할인
농부의마음 Farmers Heart 체크카드,NH농협카드,0,0,0,일상생활영역: 1%적립 | 농협계통업종: 1%적립 | 농업관련업종: 1%적립
뉴타임카드,SC제일은행,8000,10000,300000,음식점: 5%할인 | 커피전문점: 5%할인 | 배달앱: 5%할인
다드림 체크카드,우체국,0,0,0,국내가맹점: 0.3%적립 | 우체국서비스: 5%적립 | 통신서비스: 10%적립
